loggingTime,loggingSample,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ
2015-04-16 19:58:11.921,1,47439.43645658334,-0.631195068359375,-0.778228759765625,0.0057525634765625
2015-04-16 19:58:11.921,2,47439.44617508334,-0.6245880126953125,-0.781951904296875,0.001800537109375
2015-04-16 19:58:11.922,3,47439.4559635,-0.6169586181640625,-0.7780914306640625,0.0075836181640625
2015-04-16 19:58:11.923,4,47439.46561241667,-0.5930023193359375,-0.785797119140625,0.0987091064453125
2015-04-16 19:58:11.923,5,47439.47533125,-0.6140289306640625,-0.7859649658203125,0.084197998046875
2015-04-16 19:58:11.924,6,47439.485049875,-0.613250732421875,-0.7707366943359375,0.079193115234375
2015-04-16 19:58:11.924,7,47439.49477016667,-0.6166229248046875,-0.779144287109375,0.033111572265625
2015-04-16 19:58:11.925,8,47439.50448870833,-0.61029052734375,-0.77423095703125,0.0133819580078125
2015-04-16 19:58:11.926,9,47439.51420245833,-0.61248779296875,-0.7703704833984375,-0.008209228515625
2015-04-16 19:58:11.935,10,47439.52392545834,-0.6002197265625,-0.76641845703125,-0.0083465576171875
2015-04-16 19:58:11.945,11,47439.53364316667,-0.6009521484375,-0.7845306396484375,-0.003326416015625
2015-04-16 19:58:11.969,12,47439.54347279167,-0.5981597900390625,-0.7769012451171875,-0.0014495849609375
2015-04-16 19:58:11.998,13,47439.55309408333,-0.606536865234375,-0.78271484375,0.0055389404296875
2015-04-16 19:58:11.998,14,47439.56279579167,-0.6065826416015625,-0.7798614501953125,0.004547119140625
2015-04-16 19:58:11.999,15,47439.572510375,-0.6215972900390625,-0.7876739501953125,0.0106048583984375
2015-04-16 19:58:12.000,16,47439.58222675,-0.6141357421875,-0.774261474609375,0.009490966796875
2015-04-16 19:58:12.004,17,47439.59206045834,-0.6226043701171875,-0.78387451171875,0.007659912109375
2015-04-16 19:58:12.013,18,47439.60166941667,-0.609375,-0.7799072265625,0.0075225830078125
2015-04-16 19:58:12.024,19,47439.611493125,-0.6150665283203125,-0.7808990478515625,0.005615234375
2015-04-16 19:58:12.033,20,47439.62110445834,-0.6094207763671875,-0.7789459228515625,0.00457763671875
2015-04-16 19:58:12.045,21,47439.63081541667,-0.611236572265625,-0.786590576171875,0.0055999755859375
2015-04-16 19:58:12.068,22,47439.64056041667,-0.6159820556640625,-0.794219970703125,0.0007781982421875
2015-04-16 19:58:12.097,23,47439.65024708334,-0.6131439208984375,-0.793243408203125,0.000732421875
2015-04-16 19:58:12.098,24,47439.65996558333,-0.6178131103515625,-0.79901123046875,0.001800537109375
2015-04-16 19:58:12.098,25,47439.66967975,-0.613037109375,-0.8046722412109375,0.0037384033203125
2015-04-16 19:58:12.099,26,47439.67939775001,-0.6158905029296875,-0.808502197265625,-0.0001373291015625
2015-04-16 19:58:12.104,27,47439.68923033334,-0.6073760986328125,-0.80841064453125,-0.000213623046875
2015-04-16 19:58:12.113,28,47439.69883958334,-0.6026763916015625,-0.8073883056640625,-0.002227783203125
2015-04-16 19:58:12.123,29,47439.70866283333,-0.6055145263671875,-0.8083648681640625,-0.002197265625
2015-04-16 19:58:12.133,30,47439.7182695,-0.6036529541015625,-0.8035888671875,-0.0032196044921875
2015-04-16 19:58:12.141,31,47439.727986375,-0.5961151123046875,-0.7996978759765625,-0.004302978515625
2015-04-16 19:58:12.152,32,47439.73781383334,-0.6008453369140625,-0.7997589111328125,-0.003265380859375
2015-04-16 19:58:12.194,33,47439.74741995834,-0.601776123046875,-0.8064117431640625,-0.00518798828125
2015-04-16 19:58:12.194,34,47439.75713862501,-0.5970306396484375,-0.802581787109375,-0.0013427734375
2015-04-16 19:58:12.195,35,47439.76685462501,-0.5960540771484375,-0.7987518310546875,0.0006103515625
2015-04-16 19:58:12.196,36,47439.77656958334,-0.5970458984375,-0.7997283935546875,-0.0013580322265625
2015-04-16 19:58:12.200,37,47439.78630629167,-0.5980224609375,-0.7930755615234375,-0.0003814697265625
2015-04-16 19:58:12.211,38,47439.79616229167,-0.5913848876953125,-0.7891998291015625,0.0015106201171875
2015-04-16 19:58:12.219,39,47439.80572295834,-0.57440185546875,-0.785186767578125,0.000335693359375
2015-04-16 19:58:12.230,40,47439.81544429167,-0.577178955078125,-0.7890472412109375,0.003326416015625
2015-04-16 19:58:12.240,41,47439.82526766667,-0.578125,-0.7890625,0.003326416015625
2015-04-16 19:58:12.251,42,47439.83498775,-0.577178955078125,-0.7890472412109375,0.003326416015625
2015-04-16 19:58:12.294,43,47439.84458804167,-0.578125,-0.7890625,0.003326416015625
2015-04-16 19:58:12.295,44,47439.85430829167,-0.5837554931640625,-0.7919769287109375,0.00537109375
2015-04-16 19:58:12.295,45,47439.86402991667,-0.5847320556640625,-0.7872314453125,0.005340576171875
2015-04-16 19:58:12.296,46,47439.87374420834,-0.5932159423828125,-0.7882843017578125,0.008392333984375
2015-04-16 19:58:12.299,47,47439.88346495834,-0.590423583984375,-0.788238525390625,0.0044403076171875
2015-04-16 19:58:12.309,48,47439.89318833334,-0.5781097412109375,-0.7833709716796875,0.008209228515625
2015-04-16 19:58:12.319,49,47439.903007375,-0.57708740234375,-0.7900238037109375,0.01019287109375
2015-04-16 19:58:12.329,50,47439.91261479167,-0.5817413330078125,-0.79388427734375,0.013214111328125
2015-04-16 19:58:12.339,51,47439.922364625,-0.58843994140625,-0.79205322265625,0.00933837890625
2015-04-16 19:58:12.349,52,47439.93205016667,-0.59326171875,-0.7816314697265625,0.00738525390625
