loggingTime,loggingSample,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ
2015-04-16 19:57:25.111,1,47392.63163283333,-0.9051971435546875,-0.471160888671875,0.0059051513671875
2015-04-16 19:57:25.113,2,47392.64134979167,-0.893890380859375,-0.4757537841796875,-7.62939453125e-05
2015-04-16 19:57:25.113,3,47392.65111420833,-0.8892974853515625,-0.478515625,-0.01287841796875
2015-04-16 19:57:25.114,4,47392.66078645833,-0.928924560546875,-0.48944091796875,-0.009490966796875
2015-04-16 19:57:25.114,5,47392.67050558334,-0.762054443359375,-0.441741943359375,-0.038848876953125
2015-04-16 19:57:25.115,6,47392.680222625,-0.89788818359375,-0.47857666015625,-0.0186920166015625
2015-04-16 19:57:25.116,7,47392.68994083333,-0.872344970703125,-0.497283935546875,-0.0316009521484375
2015-04-16 19:57:25.121,8,47392.70160316667,-0.8538055419921875,-0.5152740478515625,0.000701904296875
2015-04-16 19:57:25.132,9,47392.71132279167,-0.8585968017578125,-0.509613037109375,-0.0002593994140625
2015-04-16 19:57:25.140,10,47392.72103608333,-0.8538818359375,-0.51715087890625,-0.00616455078125
2015-04-16 19:57:25.150,11,47392.73075470833,-0.8538055419921875,-0.511474609375,0.002655029296875
2015-04-16 19:57:25.325,12,47392.74046979167,-0.846160888671875,-0.519012451171875,0.00457763671875
2015-04-16 19:57:25.326,13,47392.75018812501,-0.848052978515625,-0.5199737548828125,0.004608154296875
2015-04-16 19:57:25.326,14,47392.75990591667,-0.8508758544921875,-0.519073486328125,0.005615234375
2015-04-16 19:57:25.327,15,47392.76961991667,-0.840545654296875,-0.5198822021484375,-0.0003814697265625
2015-04-16 19:57:25.327,16,47392.77933920833,-0.844268798828125,-0.524688720703125,0.0006561279296875
2015-04-16 19:57:25.328,17,47392.78905425,-0.8442230224609375,-0.5275421142578125,0.0026397705078125
2015-04-16 19:57:25.328,18,47392.798772125,-0.8480224609375,-0.5199737548828125,0.0065765380859375
2015-04-16 19:57:25.329,19,47392.80849245834,-0.846221923828125,-0.514251708984375,0.003570556640625
2015-04-16 19:57:25.330,20,47392.81820779167,-0.850006103515625,-0.515228271484375,0.00164794921875
2015-04-16 19:57:25.331,21,47392.82792666667,-0.8443450927734375,-0.513275146484375,0.0015869140625
2015-04-16 19:57:25.332,22,47392.83764254167,-0.8452606201171875,-0.5151824951171875,0.003570556640625
2015-04-16 19:57:25.333,23,47392.84735770834,-0.841552734375,-0.511322021484375,-0.00042724609375
2015-04-16 19:57:25.334,24,47392.85707566667,-0.8461761474609375,-0.51141357421875,0.007476806640625
2015-04-16 19:57:25.335,25,47392.866797625,-0.83758544921875,-0.5160980224609375,0.0113525390625
2015-04-16 19:57:25.337,26,47392.87651429167,-0.8423309326171875,-0.5170745849609375,0.0094451904296875
2015-04-16 19:57:25.337,27,47392.88623229167,-0.84320068359375,-0.5171051025390625,0.0143585205078125
2015-04-16 19:57:25.338,28,47392.89594616667,-0.847991943359375,-0.5180816650390625,0.0104827880859375
2015-04-16 19:57:25.339,29,47392.90566191667,-0.8488922119140625,-0.5219268798828125,0.011474609375
2015-04-16 19:57:25.339,30,47392.91538033334,-0.8404388427734375,-0.5208587646484375,0.006500244140625
2015-04-16 19:57:25.344,31,47392.925098,-0.842315673828125,-0.5180206298828125,0.0104217529296875
2015-04-16 19:57:25.372,32,47392.93481758334,-0.845184326171875,-0.5218505859375,0.0055694580078125
2015-04-16 19:57:25.401,33,47392.94453166667,-0.8394622802734375,-0.5227508544921875,0.007476806640625
2015-04-16 19:57:25.402,34,47392.954249875,-0.841339111328125,-0.5237274169921875,0.00848388671875
2015-04-16 19:57:25.403,35,47392.96396958334,-0.8412628173828125,-0.529449462890625,0.011444091796875
2015-04-16 19:57:25.403,36,47392.97368991667,-0.8488616943359375,-0.5295257568359375,0.0085906982421875
2015-04-16 19:57:25.404,37,47392.983412875,-0.8535919189453125,-0.527679443359375,0.0105743408203125
2015-04-16 19:57:25.415,38,47392.99323941667,-0.85833740234375,-0.52581787109375,0.0106201171875
2015-04-16 19:57:25.416,39,47393.00297441667,-0.854522705078125,-0.532440185546875,0.0086669921875
2015-04-16 19:57:25.425,40,47393.01268508333,-0.8582305908203125,-0.54010009765625,0.01068115234375
2015-04-16 19:57:25.434,41,47393.02229579167,-0.8602142333984375,-0.5419921875,0.00286865234375
2015-04-16 19:57:25.444,42,47393.03211679167,-0.8554840087890625,-0.5390777587890625,0.0028076171875
2015-04-16 19:57:25.467,43,47393.04183629167,-0.84979248046875,-0.5409393310546875,0.004730224609375
2015-04-16 19:57:25.501,44,47393.05144208334,-0.8516998291015625,-0.5305023193359375,0.0095977783203125
2015-04-16 19:57:25.503,45,47393.06115875,-0.8470916748046875,-0.521881103515625,0.0045928955078125
2015-04-16 19:57:25.504,46,47393.07087858333,-0.849090576171875,-0.5171051025390625,-0.0012969970703125
2015-04-16 19:57:25.504,47,47393.080595375,-0.845306396484375,-0.517059326171875,-0.0013275146484375
2015-04-16 19:57:25.505,48,47393.09031079167,-0.84918212890625,-0.509490966796875,-0.0042724609375
2015-04-16 19:57:25.512,49,47393.100029,-0.8556976318359375,-0.515289306640625,0.0007171630859375
2015-04-16 19:57:25.522,50,47393.10974329167,-0.856658935546875,-0.512451171875,0.0007171630859375
2015-04-16 19:57:25.531,51,47393.11945925,-0.8584747314453125,-0.52008056640625,0.00274658203125
2015-04-16 19:57:25.542,52,47393.12917829167,-0.8651885986328125,-0.50970458984375,0.0037384033203125
